"Day","Cash On Hand"
11,272359
12,397482
13,343882
14,580016
15,281929
16,509125
17,489589
18,620468
19,414501
20,46302
21,306211
22,551812
23,2701444
24,2444988
25,1568633
26,1710653
27,1350058
28,1423753
29,1652208
30,2860904
31,2960036
32,2993245
33,5601793
34,7290322
35,7986426
36,8618642
37,9203210
38,9829863
39,10294489
40,11068950
41,12456023
42,13039635
43,13881173
44,15260675
45,17192562
46,17355223
47,16990895
48,17690589
49,17930357
50,18374656
51,20731598
52,22560593
53,25688072
54,27197172
55,28804231
56,29482355
57,30794515
58,31231498
59,31485582
60,33579175
61,34310502
62,34839041
63,35639106
64,36153893
65,40193502
66,40295872
67,39880981
68,41275655
69,41254981
70,47039943
71,48613297
72,52190309
73,51798847
74,51524090
75,52444752
76,54161899
77,56447998
78,56880514
79,58470760
80,59048531
81,59465128
82,60737436
83,61758832
84,69231199
85,75801986
86,77093954
87,75341703
88,75988531
89,77061609
90,78399870
