"Day","Sales","Trading Profit","Operating Expense","Net Profit"
11,1242970,-651735,953982,-1601607
12,1409555,-497503,1012111,-1505504
13,1579261,-339712,1055374,-1390976
14,1859521,-88161,1116167,-1200218
15,2156616,244155,1159558,-911293
16,2413436,484823,1205849,-716916
17,2697696,730385,1265660,-531165
18,5931886,1742069,1533788,210336
19,6177336,1970312,1578272,394095
20,6478816,2254932,1639618,616341
21,6716516,2475615,1700576,776580
22,7005140,2748226,1760266,989501
23,10764436,6491194,1873847,4617347
24,11008568,6719269,1919982,4799287
25,11265234,6521977,2124810,4397167
26,11587560,6456762,2196833,4259929
27,11918541,6754827,2260076,4494751
28,12306758,7111493,2331705,4779788
29,12718622,7461296,2379381,5081915
30,13958532,8643193,2427262,6215931
31,14582804,8640596,2564269,6076327
32,15230636,8732776,2664743,6068033
33,17938763,11273985,2780989,8492996
34,20398007,13585921,2833671,10752250
35,21660689,14656458,2900916,11755542
36,22851608,15801747,2962436,12839311
37,24201736,17091352,3116214,13975138
38,24895810,17562098,3200302,14361796
39,25736020,18084835,3299273,14785562
40,26574130,18766225,3379589,15386636
41,28232297,19431540,3667350,15764190
42,29098837,20257483,3751431,16506052
43,29980001,21097037,3807724,17289313
44,32479886,23470930,3863079,19607851
45,34529300,25020480,3997273,21023207
46,35064369,25215648,4104733,21110915
47,35466724,24414228,4265922,20148306
48,36261290,25167681,4377461,20790220
49,37546311,26533481,4689221,21844260
50,38495985,27318634,4747223,22571411
51,41138253,29338102,4846296,24491806
52,43733329,31800537,4989400,26811137
53,47553959,35158169,5126658,30031511
54,49819303,37557246,5185009,32372237
55,51487426,39078040,5261957,33816083
56,52805094,39316093,5444248,33871845
57,54250876,40708737,5594537,35114200
58,55156553,41232443,5694218,35538225
59,56145702,42112841,5751550,36361291
60,58422154,43148713,5951076,37197637
61,59400707,43158490,6214969,36943521
62,60275204,43982711,6278927,37703784
63,61727365,44796736,6425783,38370953
64,62698249,45024748,6614880,38409868
65,66933702,49090437,6810724,42279713
66,67659733,49363722,6885529,42478193
67,68466962,49430616,6996257,42434359
68,70192952,48928230,7215573,41712657
69,71076764,49755787,7270335,42485452
70,76944290,55372769,7352899,48019870
71,79566437,57894688,7393692,50500996
72,83231811,61470466,7482054,53988412
73,85567096,62608029,7664789,54943240
74,86522263,63031102,7770849,55260253
75,87518929,63722787,7846853,55875934
76,90252024,64916341,8096001,56820340
77,92656311,67258275,8214189,59044086
78,93679604,67887443,8304766,59582677
79,95358559,69515684,8393475,61122209
80,96365972,70471906,8436477,62035429
81,97360012,70519370,8635344,61884026
82,99154072,71948767,8741496,63207271
83,100652459,73396982,8813515,64583467
84,108643292,79669561,9331981,70337580
85,116122966,86815031,9414896,77400135
86,117960349,88587733,9510161,79077572
87,119125417,88305878,9867400,78438478
88,120294580,87175091,10203975,76971116
89,121640615,88444612,10289412,78155200
90,123050992,89788041,10391528,79426513
